ID,name,lat,long,address_1,address_2,address_3,county
1838,The Village Inn,52.0920608,-7.6158861,Ardgroom,Castletownbere,,Co. Cork
1839,The Village Inn,52.0920608,-7.6158861,Main Street,Kilworth,,Co. Cork
1840,The Village Inn,52.0920608,-7.6158861,Main Street,Enniskeane,,Co. Cork
1841,The Village Inn,52.0920608,-7.6158861,Grenagh Village,Grenagh North,,Co. Cork
1842,The Village Inn,52.0920608,-7.6158861,Ballyboughal,,,Co. Dublin
1843,The Village Inn,52.0920608,-7.6158861,Fohenagh,Ahascragh,Ballinasloe,Co. Galway
1844,The Village Inn,52.0920608,-7.6158861,Kilchrest,Loughrea,,Co. Galway
1845,The Village Inn,52.0920608,-7.6158861,Kilkerrin,Ballinasloe,,Co. Galway
1846,The Village Inn,52.0920608,-7.6158861,Church Street,Kilgarvan,,Co. Kerry
1847,The Village Inn,52.0920608,-7.6158861,Kilcummin,Killarney,,Co. Kerry
1848,The Village Inn,52.0920608,-7.6158861,Main Street,Celbridge,,Co. Kildare
1849,The Village Inn,52.0920608,-7.6158861,Patrick Street,Kilkenny,,Co. Kilkenny
1850,The Village Inn,52.0920608,-7.6158861,Kinlough,,,Co. Leitrim
1851,The Village Inn,52.0920608,-7.6158861,Gortnaclohy,Ashford,Ballagh,Co. Limerick
1852,The Village Inn,52.0920608,-7.6158861,Farrihy,Broadford,Rathluirc,Co. Limerick
1853,The Village Inn,52.0920608,-7.6158861,Aghamore,Ballyhaunis,,Co. Mayo
1854,The Village Inn,52.0920608,-7.6158861,Toocananagh,Claremorris,,Co. Mayo
1855,The Village Inn,52.0920608,-7.6158861,Ballynacroonbeg,Partry,Claremorris,Co. Mayo
1856,The Village Inn,52.0920608,-7.6158861,Main Street,Clonee,,Co. Meath
1857,The Village Inn,52.0920608,-7.6158861,Main Street,Rathmoylon,,Co. Meath
1858,The Village Inn,52.0920608,-7.6158861,Castlejordan,,,Co. Meath
1859,The Village Inn,52.0920608,-7.6158861,Loughglynn,Castlerea,,Co. Roscommon
1860,The Village Inn,52.0920608,-7.6158861,Cartron Village,Sligo,,Co. Sligo
1861,The Village Inn,52.0920608,-7.6158861,Eglish,Roscrea,,Co. Tipperary
1862,The Village Inn,52.0920608,-7.6158861,Moyglass,Fethard,,Co. Tipperary
1863,The Village Inn,52.0920608,-7.6158861,Main Street,Newtownmountkennedy,,Co. Wicklow
1864,The Village Inn,52.0920608,-7.6158861,2/4/6 Lisle Road,Crumlin,,Dublin City
1865,The Log Cabin,53.423347,-6.176724,Derryfa,Creeslough,Letterkenny,Co. Donegal
1866,The Log Cabin,53.423347,-6.176724,Ballyduff,,,Co. Waterford
1867,An Cruiscin Lan,52.0886176,-7.8511731,82 Main Street,Cavan,,Co. Cavan
1868,An Cruiscin Lan,52.0886176,-7.8511731,"The Flatts, Ballymakeera",Macroom,,Co. Cork
1869,An Cruiscin Lan,52.0886176,-7.8511731,Main Street,Spiddal,,Co. Galway
1870,An Cruiscin Lan,52.0886176,-7.8511731,Villierstown,Cappoquin,,Co. Waterford
1871,Red House Inn,52.1373036,-7.9324588,Main Street,Lismore,,Co. Waterford
1872,The Elephant Bar,52.0721647,-7.8169569,Ballinaparka,Aglish,Cappoquin,Co. Waterford
1873,William Roche,52.1358184,-7.9376803,74 Main Street,Lismore,,Co. Waterford
1874,The Tavern Bar,52.147188,-7.850884,Main Street,Glenties,,Co. Donegal
1875,The Tavern Bar,52.147188,-7.850884,4/5 Lower Yellow Road,Waterford,,Co. Waterford
1876,The Tavern Bar,52.147188,-7.850884,Main Street,Cappoquin,,Co. Waterford
1877,Dunne's Bar,52.2026469,-7.7157163,Main Street,Glin,,Co. Limerick
1878,Dunne's Bar,52.2026469,-7.7157163,Touraneena,Ballinamult,,Co. Waterford
1879,The Tower Hotel,52.260066,-7.105088,The Mall,Waterford,,Co. Waterford
1880,Nicky's,52.2583336,-7.1151785,31/32 Mayor's Walk,Waterford,,Co. Waterford
1881,Norris's Bar,52.2555174,-7.1214715,73 Barrack Street,"Canon Street, Slievekeale Road",Waterford,Co. Waterford
